scenario,scenario_label,target,stage,model,metric,train_mean,cv_mean,cv_std,gap,n_features,best_params
early_warning,Early Warning,principal,tuned,hist_gradient_boosting,precision,0.9419001993849525,0.8162241612529687,0.03069643828140694,0.1256760381319838,24,"{""model__learning_rate"": ""0.05"", ""model__max_iter"": ""100""}"
early_warning,Early Warning,principal,tuned,hist_gradient_boosting,recall,0.8302307133150026,0.6931729353839906,0.02317134090012631,0.13705777793101204,24,"{""model__learning_rate"": ""0.05"", ""model__max_iter"": ""100""}"
early_warning,Early Warning,principal,tuned,hist_gradient_boosting,f1,0.8824615922332107,0.7493786865753569,0.02195014912418591,0.13308290565785386,24,"{""model__learning_rate"": ""0.05"", ""model__max_iter"": ""100""}"
early_warning,Early Warning,principal,tuned,hist_gradient_boosting,f2,0.8503459353400883,0.7145521995739622,0.02183700376337993,0.13579373576612608,24,"{""model__learning_rate"": ""0.05"", ""model__max_iter"": ""100""}"
early_warning,Early Warning,principal,tuned,hist_gradient_boosting,roc_auc,0.9821537306285648,0.8874491703219667,0.013146840233936963,0.09470456030659813,24,"{""model__learning_rate"": ""0.05"", ""model__max_iter"": ""100""}"
full,Completo,principal,default,dummy_prior,accuracy,0.6789405666216428,0.6789405388503831,0.0006273622935212724,2.7771259736297793e-08,35,{}
full,Completo,principal,default,dummy_prior,precision,0.0,0.0,0.0,0.0,35,{}
full,Completo,principal,default,dummy_prior,recall,0.0,0.0,0.0,0.0,35,{}
full,Completo,principal,default,dummy_prior,f1,0.0,0.0,0.0,0.0,35,{}
full,Completo,principal,default,dummy_prior,f2,0.0,0.0,0.0,0.0,35,{}
full,Completo,principal,default,dummy_prior,roc_auc,0.5,0.5,0.0,0.0,35,{}
full,Completo,principal,default,logistic,accuracy,0.8764539090814818,0.8669300119860337,0.008740741622472258,0.009523897095448097,35,{}
full,Completo,principal,default,logistic,precision,0.8688603794937617,0.8498283992636088,0.011608797369518814,0.019031980230152956,35,{}
full,Completo,principal,default,logistic,recall,0.7245981479725672,0.7112887670676615,0.02686462100140237,0.013309380904905632,35,{}
full,Completo,principal,default,logistic,f1,0.7901561254100565,0.7741445511012124,0.017852465015237757,0.016011574308844145,35,{}
full,Completo,principal,default,logistic,f2,0.7494631238168012,0.7351158553611197,0.023516013842413794,0.014347268455681572,35,{}
full,Completo,principal,default,logistic,roc_auc,0.9218358688831015,0.9114177451715498,0.01025806169817566,0.010418123711551708,35,{}
full,Completo,principal,default,logistic_balanced,accuracy,0.8656331953487431,0.8540080254312368,0.009892535027740328,0.011625169917506284,35,{}
full,Completo,principal,default,logistic_balanced,precision,0.7741144657687759,0.756820435737289,0.020830293495207142,0.017294030031486884,35,{}
